Variable_Name,Variable Desc,Who,Sales Channel,Product,Activity,Metric,Category
UM_D2DTeleout_2P_HSIn_CPO1a_SpendPerOE_A,Independent,UM,D2DTeleout,2P_HSIn,CPO1a,SpendPerOE,CPO
UM_D2DTeleout_3P_HSIn_CPO1a_SpendPerOE_B,Independent,UM,D2DTeleout,3P_HSIn,CPO1a,SpendPerOE,CPO
UM_D2DTeleout_2P_HSIn_CPO1b_SpendPerOE_C,Independent,UM,D2DTeleout,2P_HSIn,CPO1b,SpendPerOE,CPO
UM_D2DTeleout_3P_HSIn_CPO1b_SpendPerOE_D,Independent,UM,D2DTeleout,3P_HSIn,CPO1b,SpendPerOE,CPO
UM_D2DTeleout_BCS_CPO1a_SpendPerOE_E,Independent,UM,D2DTeleout,BCS,CPO1a,SpendPerOE,CPO
UM_D2DTeleout_BCS_CPO1b_SpendPerOE_F,Independent,UM,D2DTeleout,BCS,CPO1b,SpendPerOE,CPO
UM_D2DTeleout_2P_HSIn_CPO1_SpendPerOE_G,Independent,UM,D2DTeleout,2P_HSIn,CPO1,SpendPerOE,CPO
UM_D2DTeleout_3P_HSIn_CPO1_SpendPerOE_H,Independent,UM,D2DTeleout,3P_HSIn,CPO1,SpendPerOE,CPO
UM_D2DTeleout_BCS_CPO1_SpendPerOE_I,Independent,UM,D2DTeleout,BCS,CPO1,SpendPerOE,CPO
UM_D2DTeleout_2P_HSIn_CPO2_SpendPerOE_J,Independent,UM,D2DTeleout,2P_HSIn,CPO2,SpendPerOE,CPO
UM_D2DTeleout_3P_HSIn_CPO2_SpendPerOE_K,Independent,UM,D2DTeleout,3P_HSIn,CPO2,SpendPerOE,CPO
UM_D2DTeleout_BCS_CPO2_SpendPerOE_L,Independent,UM,D2DTeleout,BCS,CPO2,SpendPerOE,CPO
UM_D2DTeleout_2P_HSIn_CPO1b_2_SpendPerOE_M,Independent,UM,D2DTeleout,2P_HSIn,CPO 1b_2,SpendPerOE,CPO
UM_D2DTeleout_3P_HSIn_CPO1b_2_SpendPerOE_N,Independent,UM,D2DTeleout,3P_HSIn,CPO 1b_2,SpendPerOE,CPO
UM_D2DTeleout_BCS_CPO1b_2_SpendPerOE_O,Independent,UM,D2DTeleout,BCS,CPO 1b_2,SpendPerOE,CPO
UM_D2DTeleout_2P_HSIn_CPO1_2_SpendPerOE_P,Independent,UM,D2DTeleout,2P_HSIn,CPO1 _ 2,SpendPerOE,CPO
UM_D2DTeleout_3P_HSIn_CPO1_2_SpendPerOE_Q,Independent,UM,D2DTeleout,3P_HSIn,CPO1 _ 2,SpendPerOE,CPO
UM_D2DTeleout_BCS_CPO1_2_SpendPerOE_R,Independent,UM,D2DTeleout,BCS,CPO1 _ 2,SpendPerOE,CPO
UM_D2DTeleout_2P_HSIn_CPO3_Spend_S,Independent,UM,D2DTeleout,2P_HSIn,CPO3,Spend,CPO
UM_D2DTeleout_3P_HSIn_CPO3_Spend_T,Independent,UM,D2DTeleout,3P_HSIn,CPO3,Spend,CPO
UM_D2DTeleout_BCS_CPO3_Spend_U,Independent,UM,D2DTeleout,BCS,CPO3,Spend,CPO
Comp_AllChan_2P_Effectively_Mtl_Price_Avg_Ranking_V1,Independent,Comp,AllChan,2P,Effectively_Mtl_Price,Avg_Ranking_V1,Comp
Comp_AllChan_3P_Effectively_Mtl_Price_Avg_Ranking_V1,Independent,Comp,AllChan,3P,Effectively_Mtl_Price,Avg_Ranking_V1,Comp
Comp_AllChan_2P_Effectively_Mtl_Price_Avg_Ranking_V0,Independent,Comp,AllChan,2P,Effectively_Mtl_Price,Avg_Ranking_V0,Comp
Comp_AllChan_3P_Effectively_Mtl_Price_Avg_Ranking_V0,Independent,Comp,AllChan,3P,Effectively_Mtl_Price,Avg_Ranking_V0,Comp
Comp_AllChan_2P_Effectively_Mtl_Price_Avg_Ranking_V2,Independent,Comp,AllChan,2P,Effectively_Mtl_Price,Avg_Ranking_V2,Comp
Comp_AllChan_3P_Effectively_Mtl_Price_Avg_Ranking_V2,Independent,Comp,AllChan,3P,Effectively_Mtl_Price,Avg_Ranking_V2,Comp
Comp_AllChan_2P_Effectively_Mtl_Price_Avg_Ranking_V3,Independent,Comp,AllChan,2P,Effectively_Mtl_Price,Avg_Ranking_V3,Comp
Comp_AllChan_3P_Effectively_Mtl_Price_Avg_Ranking_V3,Independent,Comp,AllChan,3P,Effectively_Mtl_Price,Avg_Ranking_V3,Comp
Comp_AllChan_2P_Effectively_Mtl_Price_Avg_Ranking_V4,Independent,Comp,AllChan,2P,Effectively_Mtl_Price,Avg_Ranking_V4,Comp
Comp_AllChan_3P_Effectively_Mtl_Price_Avg_Ranking_V4,Independent,Comp,AllChan,3P,Effectively_Mtl_Price,Avg_Ranking_V4,Comp
Comp_AllChan_2P_Effectively_Mtl_Price_Avg_Ranking_V5,Independent,Comp,AllChan,2P,Effectively_Mtl_Price,Avg_Ranking_V5,Comp
Comp_AllChan_3P_Effectively_Mtl_Price_Avg_Ranking_V5,Independent,Comp,AllChan,3P,Effectively_Mtl_Price,Avg_Ranking_V5,Comp
UM_D2DTeleout_AllProd_SalesSupport_Spend_Deal_closer,Independent,UM,D2DTeleout,AllProd,SalesSupport,Spend,Support
UM_D2DTeleout_AllProd_SalesSupport_Spend_TrafficIncr,Independent,UM,D2DTeleout,AllProd,SalesSupport,Spend,Support
UM_D2DTeleout_AllProd_SalesSupport_Spend_Total,Independent,UM,D2DTeleout,AllProd,SalesSupport,Spend,Support
UM_Retaildir_AllProd_SalesSupport_Spend_Deal_closer,Independent,UM,Retaildir,AllProd,SalesSupport,Spend,Support
UM_Retaildir_AllProd_SalesSupport_Spend_TrafficIncr,Independent,UM,Retaildir,AllProd,SalesSupport,Spend,Support
UM_Retaildir_AllProd_SalesSupport_Spend_Total,Independent,UM,Retaildir,AllProd,SalesSupport,Spend,Support
UM_RetailIndir_AllProd_SalesSupport_Spend_Deal_closer,Independent,UM,RetailIndir,AllProd,SalesSupport,Spend,Support
UM_RetailIndir_AllProd_SalesSupport_Spend_TrafficIncr,Independent,UM,RetailIndir,AllProd,SalesSupport,Spend,Support
UM_RetailIndir_AllProd_SalesSupport_Spend_Total,Independent,UM,RetailIndir,AllProd,SalesSupport,Spend,Support
Comp_AllChan_HSIn_Internet_Spend,Independent,Comp,AllChan,HSIn,Internet,Spend,Comp
Comp_AllChan_TEL_Internet_Spend,Independent,Comp,AllChan,TEL,Internet,Spend,Comp
Comp_AllChan_MOB_Internet_Spend,Independent,Comp,AllChan,MOB,Internet,Spend,Comp
Comp_AllChan_TV_Internet_Spend,Independent,Comp,AllChan,TV,Internet,Spend,Comp
Comp_AllChan_HSIn_Mobile_Spend,Independent,Comp,AllChan,HSIn,Mobile,Spend,Comp
Comp_AllChan_TEL_Mobile_Spend,Independent,Comp,AllChan,TEL,Mobile,Spend,Comp
Comp_AllChan_MOB_Mobile_Spend,Independent,Comp,AllChan,MOB,Mobile,Spend,Comp
Comp_AllChan_HSIn_Magazines_Spend,Independent,Comp,AllChan,HSIn,Magazines,Spend,Comp
Comp_AllChan_TEL_Magazines_Spend,Independent,Comp,AllChan,TEL,Magazines,Spend,Comp
Comp_AllChan_MOB_Magazines_Spend,Independent,Comp,AllChan,MOB,Magazines,Spend,Comp
Comp_AllChan_TV_Magazines_Spend,Independent,Comp,AllChan,TV,Magazines,Spend,Comp
Comp_AllChan_HSIn_TV_Spend,Independent,Comp,AllChan,HSIn,TV,Spend,Comp
Comp_AllChan_TEL_TV_Spend,Independent,Comp,AllChan,TEL,TV,Spend,Comp
Comp_AllChan_MOB_TV_Spend,Independent,Comp,AllChan,MOB,TV,Spend,Comp
Comp_AllChan_TV_TV_Spend,Independent,Comp,AllChan,TV,TV,Spend,Comp
Comp_AllChan_HSIn_PromoEvents_Spend,Independent,Comp,AllChan,HSIn,PromoEvents,Spend,Comp
Comp_AllChan_TEL_PromoEvents_Spend,Independent,Comp,AllChan,TEL,PromoEvents,Spend,Comp
Comp_AllChan_MOB_PromoEvents_Spend,Independent,Comp,AllChan,MOB,PromoEvents,Spend,Comp
Comp_AllChan_TV_PromoEvents_Spend,Independent,Comp,AllChan,TV,PromoEvents,Spend,Comp
Comp_AllChan_HSIn_Radio_Spend,Independent,Comp,AllChan,HSIn,Radio,Spend,Comp
Comp_AllChan_TEL_Radio_Spend,Independent,Comp,AllChan,TEL,Radio,Spend,Comp
Comp_AllChan_MOB_Radio_Spend,Independent,Comp,AllChan,MOB,Radio,Spend,Comp
Comp_AllChan_HSIn_OOH_Spend,Independent,Comp,AllChan,HSIn,OOH,Spend,Comp
Comp_AllChan_TEL_OOH_Spend,Independent,Comp,AllChan,TEL,OOH,Spend,Comp
Comp_AllChan_MOB_OOH_Spend,Independent,Comp,AllChan,MOB,OOH,Spend,Comp
Comp_AllChan_TV_OOH_Spend,Independent,Comp,AllChan,TV,OOH,Spend,Comp
Comp_AllChan_HSIn_Instoremedia_Spend,Independent,Comp,AllChan,HSIn,Instoremedia,Spend,Comp
Comp_AllChan_TEL_Instoremedia_Spend,Independent,Comp,AllChan,TEL,Instoremedia,Spend,Comp
Comp_AllChan_MOB_Instoremedia_Spend,Independent,Comp,AllChan,MOB,Instoremedia,Spend,Comp
Comp_AllChan_HSIn_TV_GRP,Independent,Comp,AllChan,HSIn,TV,GRP,Comp
Comp_AllChan_TEL_TV_GRP,Independent,Comp,AllChan,TEL,TV,GRP,Comp
Comp_AllChan_MOB_TV_GRP,Independent,Comp,AllChan,MOB,TV,GRP,Comp
Comp_AllChan_TV_TV_GRP,Independent,Comp,AllChan,TV,TV,GRP,Comp
Comp_AllChan_HSIn_Radio_GRP,Independent,Comp,AllChan,HSIn,Radio,GRP,Comp
Comp_AllChan_TEL_Radio_GRP,Independent,Comp,AllChan,TEL,Radio,GRP,Comp
Comp_AllChan_MOB_Radio_GRP,Independent,Comp,AllChan,MOB,Radio,GRP,Comp
UM_Digitaldir_AllProd_ChanSpecificDisc_Euros_OnlyMidValTier,Independent,UM,Digitaldir,AllProd,ChanSpecificDisc,Euros,Promo
UM_TeleinSiS_HSIn_OTCFreeBudget_RelNumOfSubsidy,Independent,UM,TeleinSiS,HSIn,OTCFreeBudget,RelNumOfSubsidy,Promo
UM_TeleinSiS_HSIn_OTCFreeBudget_AbsNumOfSubsidy,Independent,UM,TeleinSiS,HSIn,OTCFreeBudget,AbsNumOfSubsidy,Promo
UM_TeleinSiS_HSIn_OTCFreeBudget_Spend,Independent,UM,TeleinSiS,HSIn,OTCFreeBudget,Spend,Promo
UM_Retaildir_2P_POSPromotion_Spend,Independent,UM,Retaildir,2P,POSPromotion,Spend,Promo
UM_Retaildir_3P_POSPromotion_Spend,Independent,UM,Retaildir,3P,POSPromotion,Spend,Promo
UM_Retaildir_HSIn_POSPromotion_Spend,Independent,UM,Retaildir,HSIn,POSPromotion,Spend,Promo
UM_Retaildir_AllProd_POSPromotion_Spend,Independent,UM,Retaildir,AllProd,POSPromotion,Spend,Promo
UM_DigitalIndir_AllProd_AvgCommPaid_Euros_2016n17,Independent,UM,DigitalIndir,AllProd,AvgCommPaid,Euros,Promo
UM_DigitalIndir_AllProd_AvgCommPaidAdjforLag_Euros_2016n17,Independent,UM,DigitalIndir,AllProd,AvgCommPaidAdjforLag,Euros,Promo
UM_DigitalIndir_AllProd_AvgCashBackPaid_Euros_2016n17,Independent,UM,DigitalIndir,AllProd,AvgCashBackPaid,Euros,Promo
UM_AllChan_AllProd_ProgFB_Impressions,Independent,UM,AllChan,AllProd,ProgFB,Impressions,Missing
UM_AllChan_AllProd_ProgFB_Clicks,Independent,UM,AllChan,AllProd,ProgFB,Clicks,Missing
UM_AllChan_AllProd_ProgFB_Spend,Independent,UM,AllChan,AllProd,ProgFB,Spend,Missing
UM_AllChan_AllProd_ProgNative_Impressions,Independent,UM,AllChan,AllProd,ProgNative,Impressions,Missing
UM_AllChan_AllProd_ProgNative_Clicks,Independent,UM,AllChan,AllProd,ProgNative,Clicks,Missing
UM_AllChan_AllProd_ProgNative_Spend,Independent,UM,AllChan,AllProd,ProgNative,Spend,Missing
UM_AllChan_AllProd_ProgStandard_Impressions,Independent,UM,AllChan,AllProd,ProgStandard,Impressions,Digital
UM_AllChan_AllProd_ProgStandard_Clicks,Independent,UM,AllChan,AllProd,ProgStandard,Clicks,Digital
UM_AllChan_AllProd_ProgStandard_Spend,Independent,UM,AllChan,AllProd,ProgStandard,Spend,Digital
UM_AllChan_B2B_ProgStandard_Impressions,Independent,UM,AllChan,B2B,ProgStandard,Impressions,Digital
UM_AllChan_B2B_ProgStandard_Clicks,Independent,UM,AllChan,B2B,ProgStandard,Clicks,Digital
UM_AllChan_B2B_ProgStandard_Spend,Independent,UM,AllChan,B2B,ProgStandard,Spend,Digital
UM_AllChan_HSIn_ProgStandard_Impressions,Independent,UM,AllChan,HSIn,ProgStandard,Impressions,Digital
UM_AllChan_HSIn_ProgStandard_Clicks,Independent,UM,AllChan,HSIn,ProgStandard,Clicks,Digital
UM_AllChan_HSIn_ProgStandard_Spend,Independent,UM,AllChan,HSIn,ProgStandard,Spend,Digital
UM_AllChan_AllProd_ProgVideo_Impressions,Independent,UM,AllChan,AllProd,ProgVideo,Impressions,Digital
UM_AllChan_AllProd_ProgVideo_Clicks,Independent,UM,AllChan,AllProd,ProgVideo,Clicks,Digital
UM_AllChan_AllProd_ProgVideo_Spend,Independent,UM,AllChan,AllProd,ProgVideo,Spend,Digital
UM_AllChan_B2B_ProgVideo_Impressions,Independent,UM,AllChan,B2B,ProgVideo,Impressions,Digital
UM_AllChan_B2B_ProgVideo_Clicks,Independent,UM,AllChan,B2B,ProgVideo,Clicks,Digital
UM_AllChan_B2B_ProgVideo_Spend,Independent,UM,AllChan,B2B,ProgVideo,Spend,Digital
UM_AllChan_HSIn_ProgVideo_Impressions,Independent,UM,AllChan,HSIn,ProgVideo,Impressions,Digital
UM_AllChan_HSIn_ProgVideo_Clicks,Independent,UM,AllChan,HSIn,ProgVideo,Clicks,Digital
UM_AllChan_HSIn_ProgVideo_Spend,Independent,UM,AllChan,HSIn,ProgVideo,Spend,Digital
UM_AllChan_AllProd_ProgStandard_sum_Impressions,Independent,UM,AllChan,AllProd,ProgStandard_sum,Impressions,Missing
UM_AllChan_AllProd_ProgStandard_sum_Clicks,Independent,UM,AllChan,AllProd,ProgStandard_sum,Clicks,Missing
UM_AllChan_AllProd_ProgStandard_sum_Spend,Independent,UM,AllChan,AllProd,ProgStandard_sum,Spend,Missing
UM_AllChan_AllProd_ProgVideo_sum_Impressions,Independent,UM,AllChan,AllProd,ProgVideo_sum,Impressions,Missing
UM_AllChan_AllProd_ProgVideo_sum_Clicks,Independent,UM,AllChan,AllProd,ProgVideo_sum,Clicks,Missing
UM_AllChan_AllProd_ProgVideo_sum_Spend,Independent,UM,AllChan,AllProd,ProgVideo_sum,Spend,Missing
UM_AllChan_B2B_sum_Impressions,Independent,UM,AllChan,B2B,sum,Impressions,Digital
UM_AllChan_Non_B2B_sum_Impressions,Independent,UM,AllChan,Non_B2B,sum,Impressions,Digital
UM_AllChan_AllProd_ProgrammaticTot_Impressions,Independent,UM,AllChan,AllProd,ProgrammaticTot,Impressions,Digital
UM_AllChan_AllProd_ProgrammaticTot_Clicks,Independent,UM,AllChan,AllProd,ProgrammaticTot,Clicks,Digital
UM_AllChan_AllProd_ProgrammaticTot_Spend,Independent,UM,AllChan,AllProd,ProgrammaticTot,Spend,Digital
UM_AllChan_HSIn_NonProgDisplay_Impressions,Independent,UM,AllChan,HSIn,NonProgDisplay,Impressions,Digital
UM_AllChan_HSIn_NonProgDisplay_Clicks,Independent,UM,AllChan,HSIn,NonProgDisplay,Clicks,Digital
UM_AllChan_HSIn_NonProgDisplay_SpendGross,Independent,UM,AllChan,HSIn,NonProgDisplay,SpendGross,Digital
UM_AllChan_HSIn_NonProgDisplay_SpendNet,Independent,UM,AllChan,HSIn,NonProgDisplay,SpendNet,Digital
UM_AllChan_HSIn_NonProgDisplay_Views,Independent,UM,AllChan,HSIn,NonProgDisplay,Views,Digital
UM_AllChan_AllProd_NonProgDisplay_Impressions,Independent,UM,AllChan,AllProd,NonProgDisplay,Impressions,Digital
UM_AllChan_AllProd_NonProgDisplay_Clicks,Independent,UM,AllChan,AllProd,NonProgDisplay,Clicks,Digital
UM_AllChan_AllProd_NonProgDisplay_SpendGross,Independent,UM,AllChan,AllProd,NonProgDisplay,SpendGross,Digital
UM_AllChan_AllProd_NonProgDisplay_SpendNet,Independent,UM,AllChan,AllProd,NonProgDisplay,SpendNet,Digital
UM_AllChan_AllProd_NonProgDisplay_Views,Independent,UM,AllChan,AllProd,NonProgDisplay,Views,Digital
UM_AllChan_B2B_NonProgDisplay_Impressions,Independent,UM,AllChan,B2B,NonProgDisplay,Impressions,Digital
UM_AllChan_B2B_NonProgDisplay_Clicks,Independent,UM,AllChan,B2B,NonProgDisplay,Clicks,Digital
UM_AllChan_B2B_NonProgDisplay_SpendGross,Independent,UM,AllChan,B2B,NonProgDisplay,SpendGross,Digital
UM_AllChan_B2B_NonProgDisplay_SpendNet,Independent,UM,AllChan,B2B,NonProgDisplay,SpendNet,Digital
UM_AllChan_B2B_NonProgDisplay_Views,Independent,UM,AllChan,B2B,NonProgDisplay,Views,Digital
UM_AllChan_HSIn_NonProgConnectedTV_Impressions,Independent,UM,AllChan,HSIn,NonProgConnectedTV,Impressions,Digital
UM_AllChan_HSIn_NonProgConnectedTV_Clicks,Independent,UM,AllChan,HSIn,NonProgConnectedTV,Clicks,Digital
UM_AllChan_HSIn_NonProgConnectedTV_SpendGross,Independent,UM,AllChan,HSIn,NonProgConnectedTV,SpendGross,Digital
UM_AllChan_HSIn_NonProgConnectedTV_SpendNet,Independent,UM,AllChan,HSIn,NonProgConnectedTV,SpendNet,Digital
UM_AllChan_HSIn_NonProgConnectedTV_Views,Independent,UM,AllChan,HSIn,NonProgConnectedTV,Views,Digital
UM_AllChan_HSIn_NonProgVideo_Impressions,Independent,UM,AllChan,HSIn,NonProgVideo,Impressions,Digital
UM_AllChan_HSIn_NonProgVideo_Clicks,Independent,UM,AllChan,HSIn,NonProgVideo,Clicks,Digital
UM_AllChan_HSIn_NonProgVideo_SpendGross,Independent,UM,AllChan,HSIn,NonProgVideo,SpendGross,Digital
UM_AllChan_HSIn_NonProgVideo_SpendNet,Independent,UM,AllChan,HSIn,NonProgVideo,SpendNet,Digital
UM_AllChan_HSIn_NonProgVideo_Views,Independent,UM,AllChan,HSIn,NonProgVideo,Views,Digital
UM_AllChan_AllProd_NonProgVideo_Impressions,Independent,UM,AllChan,AllProd,NonProgVideo,Impressions,Digital
UM_AllChan_AllProd_NonProgVideo_Clicks,Independent,UM,AllChan,AllProd,NonProgVideo,Clicks,Digital
UM_AllChan_AllProd_NonProgVideo_SpendGross,Independent,UM,AllChan,AllProd,NonProgVideo,SpendGross,Digital
UM_AllChan_AllProd_NonProgVideo_SpendNet,Independent,UM,AllChan,AllProd,NonProgVideo,SpendNet,Digital
UM_AllChan_AllProd_NonProgVideo_Views,Independent,UM,AllChan,AllProd,NonProgVideo,Views,Digital
UM_AllChan_HSIn_NonProgSmartTV_Impressions,Independent,UM,AllChan,HSIn,NonProgSmartTV,Impressions,Digital
UM_AllChan_HSIn_NonProgSmartTV_Clicks,Independent,UM,AllChan,HSIn,NonProgSmartTV,Clicks,Digital
UM_AllChan_HSIn_NonProgSmartTV_SpendGross,Independent,UM,AllChan,HSIn,NonProgSmartTV,SpendGross,Digital
UM_AllChan_HSIn_NonProgSmartTV_SpendNet,Independent,UM,AllChan,HSIn,NonProgSmartTV,SpendNet,Digital
UM_AllChan_HSIn_NonProgSmartTV_Views,Independent,UM,AllChan,HSIn,NonProgSmartTV,Views,Digital
UM_AllChan_AllProd_NonProgSmartTV_Impressions,Independent,UM,AllChan,AllProd,NonProgSmartTV,Impressions,Digital
UM_AllChan_AllProd_NonProgSmartTV_Clicks,Independent,UM,AllChan,AllProd,NonProgSmartTV,Clicks,Digital
UM_AllChan_AllProd_NonProgSmartTV_SpendGross,Independent,UM,AllChan,AllProd,NonProgSmartTV,SpendGross,Digital
UM_AllChan_AllProd_NonProgSmartTV_SpendNet,Independent,UM,AllChan,AllProd,NonProgSmartTV,SpendNet,Digital
UM_AllChan_AllProd_NonProgSmartTV_Views,Independent,UM,AllChan,AllProd,NonProgSmartTV,Views,Digital
UM_AllChan_HSIn_NonProgMobile_Impressions,Independent,UM,AllChan,HSIn,NonProgMobile,Impressions,Digital
UM_AllChan_HSIn_NonProgMobile_Clicks,Independent,UM,AllChan,HSIn,NonProgMobile,Clicks,Digital
UM_AllChan_HSIn_NonProgMobile_SpendGross,Independent,UM,AllChan,HSIn,NonProgMobile,SpendGross,Digital
UM_AllChan_HSIn_NonProgMobile_SpendNet,Independent,UM,AllChan,HSIn,NonProgMobile,SpendNet,Digital
UM_AllChan_HSIn_NonProgMobile_Views,Independent,UM,AllChan,HSIn,NonProgMobile,Views,Digital
UM_AllChan_AllProd_NonProgAbilimedia_Impressions,Independent,UM,AllChan,AllProd,NonProgAbilimedia,Impressions,Digital
UM_AllChan_AllProd_NonProgAbilimedia_Clicks,Independent,UM,AllChan,AllProd,NonProgAbilimedia,Clicks,Digital
UM_AllChan_AllProd_NonProgAbilimedia_SpendGross,Independent,UM,AllChan,AllProd,NonProgAbilimedia,SpendGross,Digital
UM_AllChan_AllProd_NonProgAbilimedia_SpendNet,Independent,UM,AllChan,AllProd,NonProgAbilimedia,SpendNet,Digital
UM_AllChan_AllProd_NonProgAbilimedia_Views,Independent,UM,AllChan,AllProd,NonProgAbilimedia,Views,Digital
UM_AllChan_AllProd_NonProgDBM_Impressions,Independent,UM,AllChan,AllProd,NonProgDBM,Impressions,Digital
UM_AllChan_AllProd_NonProgDBM_Clicks,Independent,UM,AllChan,AllProd,NonProgDBM,Clicks,Digital
UM_AllChan_AllProd_NonProgDBM_SpendGross,Independent,UM,AllChan,AllProd,NonProgDBM,SpendGross,Digital
UM_AllChan_AllProd_NonProgDBM_SpendNet,Independent,UM,AllChan,AllProd,NonProgDBM,SpendNet,Digital
UM_AllChan_AllProd_NonProgDBM_Views,Independent,UM,AllChan,AllProd,NonProgDBM,Views,Digital
UM_AllChan_AllProd_NonProgDisplay_sum_Impressions,Independent,UM,AllChan,AllProd,NonProgDisplay_sum,Impressions,Digital
UM_AllChan_AllProd_NonProgDisplay_sum_Clicks,Independent,UM,AllChan,AllProd,NonProgDisplay_sum,Clicks,Digital
UM_AllChan_AllProd_NonProgDisplay_sum_SpendGross,Independent,UM,AllChan,AllProd,NonProgDisplay_sum,SpendGross,Digital
UM_AllChan_AllProd_NonProgDisplay_sum_SpendNet,Independent,UM,AllChan,AllProd,NonProgDisplay_sum,SpendNet,Digital
UM_AllChan_AllProd_NonProgDisplay_sum_Views,Independent,UM,AllChan,AllProd,NonProgDisplay_sum,Views,Digital
UM_AllChan_AllProd_NonProgVideo_sum_Impressions,Independent,UM,AllChan,AllProd,NonProgVideo_sum,Impressions,Digital
UM_AllChan_AllProd_NonProgVideo_sum_Clicks,Independent,UM,AllChan,AllProd,NonProgVideo_sum,Clicks,Digital
UM_AllChan_AllProd_NonProgVideo_sum_SpendGross,Independent,UM,AllChan,AllProd,NonProgVideo_sum,SpendGross,Digital
UM_AllChan_AllProd_NonProgVideo_sum_SpendNet,Independent,UM,AllChan,AllProd,NonProgVideo_sum,SpendNet,Digital
UM_AllChan_AllProd_NonProgVideo_sum_Views,Independent,UM,AllChan,AllProd,NonProgVideo_sum,Views,Digital
UM_AllChan_AllProd_NonProgSmartTV_sum_Impressions,Independent,UM,AllChan,AllProd,NonProgSmartTV_sum,Impressions,Digital
UM_AllChan_AllProd_NonProgSmartTV_sum_Clicks,Independent,UM,AllChan,AllProd,NonProgSmartTV_sum,Clicks,Digital
UM_AllChan_AllProd_NonProgSmartTV_sum_SpendGross,Independent,UM,AllChan,AllProd,NonProgSmartTV_sum,SpendGross,Digital
UM_AllChan_AllProd_NonProgSmartTV_sum_SpendNet,Independent,UM,AllChan,AllProd,NonProgSmartTV_sum,SpendNet,Digital
UM_AllChan_AllProd_NonProgSmartTV_sum_Views,Independent,UM,AllChan,AllProd,NonProgSmartTV_sum,Views,Digital
UM_AllChan_AllProd_NonProgTotal_Impressions,Independent,UM,AllChan,AllProd,NonProgTotal,Impressions,Digital
UM_AllChan_AllProd_NonProgTotal_Clicks,Independent,UM,AllChan,AllProd,NonProgTotal,Clicks,Digital
UM_AllChan_AllProd_NonProgTotal_SpendGross,Independent,UM,AllChan,AllProd,NonProgTotal,SpendGross,Digital
UM_AllChan_AllProd_NonProgTotal_SpendNet,Independent,UM,AllChan,AllProd,NonProgTotal,SpendNet,Digital
UM_AllChan_AllProd_NonProgTotal_Views,Independent,UM,AllChan,AllProd,NonProgTotal,Views,Digital
UM_AllChan_AllProd_SocialFBOnly_ImpressionOrg,Independent,UM,AllChan,AllProd,SocialFBOnly,ImpressionOrg,Digital
UM_AllChan_AllProd_SocialFBOnly_ImpressionPaid,Independent,UM,AllChan,AllProd,SocialFBOnly,ImpressionPaid,Digital
UM_AllChan_AllProd_SocialFBOnly_Clicks,Independent,UM,AllChan,AllProd,SocialFBOnly,Clicks,Digital
UM_AllChan_AllProd_SocialFBOnly_Budget,Independent,UM,AllChan,AllProd,SocialFBOnly,Budget,Digital
UM_AllChan_AllProd_SocialYoutube_Impressions,Independent,UM,AllChan,AllProd,SocialYoutube,Impressions,Digital
UM_AllChan_AllProd_SocialYoutube_Clicks,Independent,UM,AllChan,AllProd,SocialYoutube,Clicks,Digital
UM_AllChan_AllProd_SocialYoutube_Views,Independent,UM,AllChan,AllProd,SocialYoutube,Views,Digital
UM_AllChan_AllProd_SocialYoutube_SpendGross,Independent,UM,AllChan,AllProd,SocialYoutube,SpendGross,Digital
UM_AllChan_AllProd_SocialYoutube_SpendNet,Independent,UM,AllChan,AllProd,SocialYoutube,SpendNet,Digital
UM_AllChan_AllProd_SocialFBInsta_Impressions,Independent,UM,AllChan,AllProd,SocialFB&Insta,Impressions,Digital
UM_AllChan_AllProd_SocialFBInsta_Clicks,Independent,UM,AllChan,AllProd,SocialFB&Insta,Clicks,Digital
UM_AllChan_AllProd_SocialFBInsta_Websiteclicks,Independent,UM,AllChan,AllProd,SocialFB&Insta,Websiteclicks,Digital
UM_AllChan_AllProd_SocialFBInsta_Views,Independent,UM,AllChan,AllProd,SocialFB&Insta,Views,Digital
UM_AllChan_AllProd_SocialFBInsta_SpendGross,Independent,UM,AllChan,AllProd,SocialFB&Insta,SpendGross,Digital
UM_AllChan_AllProd_SocialFBInsta_SpendNet,Independent,UM,AllChan,AllProd,SocialFB&Insta,SpendNet,Digital
UM_AllChan_HSIn_SocialFBInsta_Impressions,Independent,UM,AllChan,HSIn,SocialFB&Insta,Impressions,Digital
UM_AllChan_HSIn_SocialFBInsta_Clicks,Independent,UM,AllChan,HSIn,SocialFB&Insta,Clicks,Digital
UM_AllChan_HSIn_SocialFBInsta_Websiteclicks,Independent,UM,AllChan,HSIn,SocialFB&Insta,Websiteclicks,Digital
UM_AllChan_HSIn_SocialFBInsta_Views,Independent,UM,AllChan,HSIn,SocialFB&Insta,Views,Digital
UM_AllChan_HSIn_SocialFBInsta_SpendGross,Independent,UM,AllChan,HSIn,SocialFB&Insta,SpendGross,Digital
UM_AllChan_HSIn_SocialFBInsta_SpendNet,Independent,UM,AllChan,HSIn,SocialFB&Insta,SpendNet,Digital
UM_AllChan_TV_SocialFBInsta_Impressions,Independent,UM,AllChan,TV,SocialFB&Insta,Impressions,Digital
UM_AllChan_TV_SocialFBInsta_Clicks,Independent,UM,AllChan,TV,SocialFB&Insta,Clicks,Digital
