Variable_Name,Variable Desc,Who,Sales Channel,Product,Activity,Metric,Category
UM_AllChan_3P_TradePress_SpendGross,Independent,UM,AllChan,3P,TradePress,SpendGross,Spend
UM_AllChan_Mob_TradePress_SpendGross,Independent,UM,AllChan,Mob,TradePress,SpendGross,Spend
UM_AllChan_B2B_TradePress_SpendGross,Independent,UM,AllChan,B2B,TradePress,SpendGross,Spend
UM_AllChan_AllProd_Magazines_SpendGross,Independent,UM,AllChan,AllProd,Magazines,SpendGross,Spend
UM_AllChan_TV_Magazines_SpendGross,Independent,UM,AllChan,TV,Magazines,SpendGross,Spend
UM_AllChan_HSIn_Magazines_SpendGross,Independent,UM,AllChan,HSIn,Magazines,SpendGross,Spend
UM_AllChan_Tel_Magazines_SpendGross,Independent,UM,AllChan,Tel,Magazines,SpendGross,Spend
UM_AllChan_2P_Magazines_SpendGross,Independent,UM,AllChan,2P,Magazines,SpendGross,Spend
UM_AllChan_3P_Magazines_SpendGross,Independent,UM,AllChan,3P,Magazines,SpendGross,Spend
UM_AllChan_Mob_Magazines_SpendGross,Independent,UM,AllChan,Mob,Magazines,SpendGross,Spend
UM_AllChan_B2B_Magazines_SpendGross,Independent,UM,AllChan,B2B,Magazines,SpendGross,Spend
UM_AllChan_AllProd_OOH_SpendGross,Independent,UM,AllChan,AllProd,OOH,SpendGross,Spend
UM_AllChan_TV_OOH_SpendGross,Independent,UM,AllChan,TV,OOH,SpendGross,Spend
UM_AllChan_HSIn_OOH_SpendGross,Independent,UM,AllChan,HSIn,OOH,SpendGross,Spend
UM_AllChan_Tel_OOH_SpendGross,Independent,UM,AllChan,Tel,OOH,SpendGross,Spend
UM_AllChan_2P_OOH_SpendGross,Independent,UM,AllChan,2P,OOH,SpendGross,Spend
UM_AllChan_3P_OOH_SpendGross,Independent,UM,AllChan,3P,OOH,SpendGross,Spend
UM_AllChan_Mob_OOH_SpendGross,Independent,UM,AllChan,Mob,OOH,SpendGross,Spend
UM_AllChan_B2B_OOH_SpendGross,Independent,UM,AllChan,B2B,OOH,SpendGross,Spend
UM_AllChan_AllProd_InternetSocialIO_SpendGross,Independent,UM,AllChan,AllProd,InternetSocialIO,SpendGross,Spend
UM_AllChan_TV_InternetSocialIO_SpendGross,Independent,UM,AllChan,TV,InternetSocialIO,SpendGross,Spend
UM_AllChan_HSIn_InternetSocialIO_SpendGross,Independent,UM,AllChan,HSIn,InternetSocialIO,SpendGross,Spend
UM_AllChan_Tel_InternetSocialIO_SpendGross,Independent,UM,AllChan,Tel,InternetSocialIO,SpendGross,Spend
UM_AllChan_2P_InternetSocialIO_SpendGross,Independent,UM,AllChan,2P,InternetSocialIO,SpendGross,Spend
UM_AllChan_3P_InternetSocialIO_SpendGross,Independent,UM,AllChan,3P,InternetSocialIO,SpendGross,Spend
UM_AllChan_Mob_InternetSocialIO_SpendGross,Independent,UM,AllChan,Mob,InternetSocialIO,SpendGross,Spend
UM_AllChan_B2B_InternetSocialIO_SpendGross,Independent,UM,AllChan,B2B,InternetSocialIO,SpendGross,Spend
UM_AllChan_AllProd_Newspapers_SpendGross,Independent,UM,AllChan,AllProd,Newspapers,SpendGross,Spend
UM_AllChan_TV_Newspapers_SpendGross,Independent,UM,AllChan,TV,Newspapers,SpendGross,Spend
UM_AllChan_HSIn_Newspapers_SpendGross,Independent,UM,AllChan,HSIn,Newspapers,SpendGross,Spend
UM_AllChan_Tel_Newspapers_SpendGross,Independent,UM,AllChan,Tel,Newspapers,SpendGross,Spend
UM_AllChan_2P_Newspapers_SpendGross,Independent,UM,AllChan,2P,Newspapers,SpendGross,Spend
UM_AllChan_3P_Newspapers_SpendGross,Independent,UM,AllChan,3P,Newspapers,SpendGross,Spend
UM_AllChan_Mob_Newspapers_SpendGross,Independent,UM,AllChan,Mob,Newspapers,SpendGross,Spend
UM_AllChan_B2B_Newspapers_SpendGross,Independent,UM,AllChan,B2B,Newspapers,SpendGross,Spend
UM_AllChan_AllProd_Cinema_SpendGross,Independent,UM,AllChan,AllProd,Cinema,SpendGross,Spend
UM_AllChan_TV_Cinema_SpendGross,Independent,UM,AllChan,TV,Cinema,SpendGross,Spend
UM_AllChan_HSIn_Cinema_SpendGross,Independent,UM,AllChan,HSIn,Cinema,SpendGross,Spend
UM_AllChan_Tel_Cinema_SpendGross,Independent,UM,AllChan,Tel,Cinema,SpendGross,Spend
UM_AllChan_2P_Cinema_SpendGross,Independent,UM,AllChan,2P,Cinema,SpendGross,Spend
UM_AllChan_3P_Cinema_SpendGross,Independent,UM,AllChan,3P,Cinema,SpendGross,Spend
UM_AllChan_Mob_Cinema_SpendGross,Independent,UM,AllChan,Mob,Cinema,SpendGross,Spend
UM_AllChan_B2B_Cinema_SpendGross,Independent,UM,AllChan,B2B,Cinema,SpendGross,Spend
UM_AllChan_AllProd_Cooperation_SpendGross,Independent,UM,AllChan,AllProd,Cooperation,SpendGross,Spend
UM_AllChan_TV_Cooperation_SpendGross,Independent,UM,AllChan,TV,Cooperation,SpendGross,Spend
UM_AllChan_HSIn_Cooperation_SpendGross,Independent,UM,AllChan,HSIn,Cooperation,SpendGross,Spend
UM_AllChan_Tel_Cooperation_SpendGross,Independent,UM,AllChan,Tel,Cooperation,SpendGross,Spend
UM_AllChan_2P_Cooperation_SpendGross,Independent,UM,AllChan,2P,Cooperation,SpendGross,Spend
UM_AllChan_3P_Cooperation_SpendGross,Independent,UM,AllChan,3P,Cooperation,SpendGross,Spend
